class	subclass	code	code_desc
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR1	Spouses, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR6	Spouses, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CR1	Spouses, new arrivals, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CR6	Spouses, adjustments, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB1	Spouses, new arrivals, self petitioning
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB6	Spouses, adjustments, self petitioning
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IW1	Spouses, widows or widowers, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IW6	Spouses, widows or widowers, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CF1	Spouses, entered as fiance(e), adjustments, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IF1	Spouses, entered as fiance(e), adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR2	Children, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR7	Children, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CR2	Children, new arrivals, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CR7	Children, adjustments, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	AR1	Children, Amerasian, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	AR6	Children, Amerasian, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB2	Children, new arrivals, self petitioning
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB7	Children, adjustments, self petitioning
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB3	Children of IB1 or IB6, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB8	Children of IB1 or IB6, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IW2	Children of IW1 or IW6, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IW7	Children of IW1 or IW6, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	CF2	Children of CF1, adjustments, conditional
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IF2	Children of IF1, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IH3	Children adopted abroad under the Hague Convention, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IH8	Children adopted abroad under the Hague Convention, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IH4	Children to be adopted under the Hague Convention, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IH9	Children to be adopted under the Hague Convention, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR3	Orphans adopted abroad, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR8	Orphans adopted abroad, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR4	Orphans to be adopted, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR9	Orphans to be adopted, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR5	Parents of adult U.S. citizens, new arrivals
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IR0	Parents of adult U.S. citizens, adjustments
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB5	Parents battered or abused, of U.S. citizens, new arrivals, self petitioning
Immediate Relatives of U.S. Citizens	All Immediate Relatives	IB0	Parents battered or abused, of U.S. citizens, adjustments, self petitioning
			
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	A11	Unmarried Amerasian sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	A16	Unmarried Amerasian sons/daughters of U.S. citizens, adjustments
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	F11	Unmarried sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	F16	Unmarried sons/daughters of U.S. citizens, adjustments
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	B11	Unmarried sons/daughters of U.S. citizens, new arrivals, self petitioning
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	B16	Unmarried sons/daughters of U.S. citizens, adjustments, self petitioning
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	A12	Children of A11 or A16, new arrivals
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	A17	Children of A11 or A16, adjustments
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	F12	Children of F11 or F16, new arrivals
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	F17	Children of F11 or F16, adjustments
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	B12	Children of B11 or B16, new arrivals
Family-sponsored preferences	First: Unmarried sons/daughters of U.S. citizens and their children	B17	Children of B11 or B16, adjustments
			
Family-sponsored preferences	Second: Spouses	F21	Spouses of alien residents, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	F26	Spouses of alien residents, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	B21	Spouses of alien residents, subject to country limits, new arrivals, self petitioning
Family-sponsored preferences	Second: Spouses	B26	Spouses of alien residents, subject to country limits, adjustments, self petitioning
Family-sponsored preferences	Second: Spouses	C21	Spouses of alien residents, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	C26	Spouses of alien residents, subject to country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	FX1	Spouses of alien residents, exempt from country limits, new arrivals
Family-sponsored preferences	Second: Spouses	FX6	Spouses of alien residents, exempt from country limits, adjustments
Family-sponsored preferences	Second: Spouses	BX1	Spouses of alien residents, exempt from country limits, new arrivals, self petitioning
Family-sponsored preferences	Second: Spouses	BX6	Spouses of alien residents, exempt from country limits, adjustments, self petitioning
Family-sponsored preferences	Second: Spouses	CX1	Spouses of alien residents, exempt from country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	CX6	Spouses of alien residents, exempt from country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	F22	Children of alien residents, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	F27	Children of alien residents, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	B22	Children of alien residents, subject to country limits, new arrivals, self petitioning
Family-sponsored preferences	Second: Spouses	B27	Children of alien residents, subject to country limits, adjustments, self petitioning
Family-sponsored preferences	Second: Spouses	C23	Children of C21, C22, C26, or C27, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	C28	Children of C21, C22, C26, or C27, subject to country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	B23	Children of B21, B22, B26, or B27, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	B28	Children of B21, B22, B26, or B27, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	F23	Children of F21, F22, F26, or F27, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	F28	Children of F21, F22, F26, or F27, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	C25	Children of C24 or C29, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	C20	Children of C24 or C29, subject to country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	B25	Children of B24 or B29, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	B20	Children of B24 or B29, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	F25	Children of F24 or F29, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	F20	Children of F24 or F29, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	C22	Children of alien residents, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	C27	Children of alien residents, subject to country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	FX2	Children of alien residents, exempt from country limits, new arrivals
Family-sponsored preferences	Second: Spouses	FX7	Children of alien residents, exempt from country limits, adjustments
Family-sponsored preferences	Second: Spouses	BX2	Children of alien residents, exempt from country limits, new arrivals, self petitioning
Family-sponsored preferences	Second: Spouses	BX7	Children of alien residents, exempt from country limits, adjustments, self petitioning
Family-sponsored preferences	Second: Spouses	CX3	Children of CX2 or CX7, exempt from country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	CX8	Children of CX2 or CX7, exempt from country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	BX3	Children of BX1, BX2, BX6, or BX7, exempt from country limits, new arrivals
Family-sponsored preferences	Second: Spouses	BX8	Children of BX1, BX2, BX6, or BX7, exempt from country limits, adjustments
Family-sponsored preferences	Second: Spouses	FX3	Children of FX1, FX2, FX7, or FX8, exempt from country limits, new arrivals
Family-sponsored preferences	Second: Spouses	FX8	Children of FX1, FX2, FX7, or FX8, exempt from country limits, adjustments
Family-sponsored preferences	Second: Spouses	CX2	Children of alien residents, exempt from country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	CX7	Children of alien residents, exempt from country limits, adjustments, conditional
Family-sponsored preferences	Second: Spouses	F24	Unmarried sons/daughters of alien residents, subject to country limits, new arrivals
Family-sponsored preferences	Second: Spouses	F29	Unmarried sons/daughters of alien residents, subject to country limits, adjustments
Family-sponsored preferences	Second: Spouses	B24	Unmarried sons/daughters of alien residents, subject to country limits, new arrivals, self petitioning
Family-sponsored preferences	Second: Spouses	B29	Unmarried sons/daughters of alien residents, subject to country limits, adjustments, self petitioning
Family-sponsored preferences	Second: Spouses	C24	Unmarried children of alien residents, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Second: Spouses	C29	Unmarried children of alien residents, subject to country limits, adjustments, conditional
			
			
			
			
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A31	Married Amerasian sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F31	Married sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C31	Married sons/daughters of U.S. citizens, new arrivals, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B31	Married sons/daughters of U.S. citizens, new arrivals, self petitioning
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A36	Married Amerasian sons/daughters of U.S. citizens, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F36	Married sons/daughters of U.S. citizens, adjustments
